D:\udacity\BehavioralCloning\data\t1r1n\IMG\center_2017_11_24_20_02_05_434.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\left_2017_11_24_20_02_05_434.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\right_2017_11_24_20_02_05_434.jpg,0,0,0,4.17237E-06
D:\udacity\BehavioralCloning\data\t1r1n\IMG\center_2017_11_24_20_02_05_500.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\left_2017_11_24_20_02_05_500.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\right_2017_11_24_20_02_05_500.jpg,0,0,0,1.027645E-05
D:\udacity\BehavioralCloning\data\t1r1n\IMG\center_2017_11_24_20_02_05_570.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\left_2017_11_24_20_02_05_570.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\right_2017_11_24_20_02_05_570.jpg,0,0,0,5.051473E-06
D:\udacity\BehavioralCloning\data\t1r1n\IMG\center_2017_11_24_20_02_05_640.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\left_2017_11_24_20_02_05_640.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\right_2017_11_24_20_02_05_640.jpg,0,0,0,5.99111E-06
D:\udacity\BehavioralCloning\data\t1r1n\IMG\center_2017_11_24_20_02_05_710.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\left_2017_11_24_20_02_05_710.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\right_2017_11_24_20_02_05_710.jpg,0,0,0,3.058709E-07
D:\udacity\BehavioralCloning\data\t1r1n\IMG\center_2017_11_24_20_02_05_780.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\left_2017_11_24_20_02_05_780.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\right_2017_11_24_20_02_05_780.jpg,0,0,0,3.719181E-07
D:\udacity\BehavioralCloning\data\t1r1n\IMG\center_2017_11_24_20_02_05_848.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\left_2017_11_24_20_02_05_848.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\right_2017_11_24_20_02_05_848.jpg,0,0,0,1.991095E-06
D:\udacity\BehavioralCloning\data\t1r1n\IMG\center_2017_11_24_20_02_05_914.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\left_2017_11_24_20_02_05_914.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\right_2017_11_24_20_02_05_914.jpg,0,0,0,2.015487E-06
D:\udacity\BehavioralCloning\data\t1r1n\IMG\center_2017_11_24_20_02_05_984.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\left_2017_11_24_20_02_05_984.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\right_2017_11_24_20_02_05_984.jpg,0,0,0,1.233379E-06
D:\udacity\BehavioralCloning\data\t1r1n\IMG\center_2017_11_24_20_02_06_057.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\left_2017_11_24_20_02_06_057.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\right_2017_11_24_20_02_06_057.jpg,0,0.1513872,0,0.04254735
D:\udacity\BehavioralCloning\data\t1r1n\IMG\center_2017_11_24_20_02_06_130.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\left_2017_11_24_20_02_06_130.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\right_2017_11_24_20_02_06_130.jpg,0,0.3907868,0,0.3071497
D:\udacity\BehavioralCloning\data\t1r1n\IMG\center_2017_11_24_20_02_06_202.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\left_2017_11_24_20_02_06_202.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\right_2017_11_24_20_02_06_202.jpg,0,0.5662589,0,0.666405
D:\udacity\BehavioralCloning\data\t1r1n\IMG\center_2017_11_24_20_02_06_276.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\left_2017_11_24_20_02_06_276.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\right_2017_11_24_20_02_06_276.jpg,0,0.8067489,0,1.320865
D:\udacity\BehavioralCloning\data\t1r1n\IMG\center_2017_11_24_20_02_06_344.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\left_2017_11_24_20_02_06_344.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\right_2017_11_24_20_02_06_344.jpg,0,0.9877595,0,2.010405
D:\udacity\BehavioralCloning\data\t1r1n\IMG\center_2017_11_24_20_02_06_414.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\left_2017_11_24_20_02_06_414.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\right_2017_11_24_20_02_06_414.jpg,-0.05,1,0,2.96516
D:\udacity\BehavioralCloning\data\t1r1n\IMG\center_2017_11_24_20_02_06_482.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\left_2017_11_24_20_02_06_482.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\right_2017_11_24_20_02_06_482.jpg,-0.2,1,0,3.662278
D:\udacity\BehavioralCloning\data\t1r1n\IMG\center_2017_11_24_20_02_06_551.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\left_2017_11_24_20_02_06_551.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\right_2017_11_24_20_02_06_551.jpg,0,1,0,4.598511
D:\udacity\BehavioralCloning\data\t1r1n\IMG\center_2017_11_24_20_02_06_620.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\left_2017_11_24_20_02_06_620.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\right_2017_11_24_20_02_06_620.jpg,0,1,0,5.295268
D:\udacity\BehavioralCloning\data\t1r1n\IMG\center_2017_11_24_20_02_06_688.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\left_2017_11_24_20_02_06_688.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\right_2017_11_24_20_02_06_688.jpg,0,1,0,6.218688
D:\udacity\BehavioralCloning\data\t1r1n\IMG\center_2017_11_24_20_02_06_757.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\left_2017_11_24_20_02_06_757.jpg,D:\udacity\BehavioralCloning\data\t1r1n\IMG\right_2017_11_24_20_02_06_757.jpg,0,1,0,6.906577
